what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698750562
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299698750592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299698779838
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299698790056
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299698791381
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299698791394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698792073
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299698797611
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299698797614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698797859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698799442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698929245
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299698936248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299698942218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299698944583
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299698947524
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299698948757
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299698948775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698949390
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299698955277
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299698955279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698955521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299698956227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699025861
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699033988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699047260
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699053386
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299699055853
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299699055866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699056554
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299699061537
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299699061539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699061774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699063640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699094234
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699096106
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299699135659
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699162040
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299699200546
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699208435
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299699218059
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299699228034
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699231470
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299699232282
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699243925
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299699250266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699273531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699297054
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1299699300457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299699307519
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699310196
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699316516
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299699319099
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299699319115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699319846
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299699325470
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299699325474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699325729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699327681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699351361
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699354041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1299699418827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299699420353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699422643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699433940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699494935
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699499697
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299699500813
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299699500834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699501477
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299699507049
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299699507051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699507341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699507947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699545508
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699556003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699562744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299699577601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699580573
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699583608
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299699586427
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299699586440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699587165
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299699592908
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299699592910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699593176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699596145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699618960
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699623015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699625423
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699633633
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299699635715
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299699635762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699636394
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299699641617
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299699641619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699644768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699645646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699669754
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699677861
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299699681846
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699696482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699746196
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1299699747820
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699748974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299699771237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299699774784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699776219
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699778510
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299699781040
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299699781057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699781712
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299699787119
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299699787121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699787383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699791221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299699810337
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1299699815370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299699817639
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299699818967
