what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700912220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700917539
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299700923310
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299700923349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700924204
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299700929531
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299700929533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700929841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700983224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700984732
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1299700984771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299700996061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701053129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299701074035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299701082540
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299701084767
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299701087347
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299701087369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701088057
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299701093508
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299701093510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701093833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701094281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701119642
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299701119828
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1299701128783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701138409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701167858
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701194213
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701194379
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701194583
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701194798
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701195154
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701195617
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1299701196156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299701202604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299701209670
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299701211675
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299701214529
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299701214547
error,log,,,"GlassFish: deploy is failing=",1299701214827
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299701214828
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299701214830
error,log,,,"cannot Deploy AgendaEAR",1299701214878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701215658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299701226743
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299701232116
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299701232156
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299701232166
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299701232179
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299701236436
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299701236444
