what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1299696681302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299696682998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299696686055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299696687693
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299696688478
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299696689876
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299696689916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299696690337
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299696695856
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299696695857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299696696013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299696697152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299696737824
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299696740394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299696740929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299696743183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299696747838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299696774700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299696775664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299696778063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299696778289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299696786522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1299696790507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299696792372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299696793036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299696798928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299696803315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299696809160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299696813864
